Employee_ID,Name,Age,Department,Gender,Experience_Years,Monthly_Salary,Performance_Rating,Attendance_%,Attrition
10001,Employee_1,59,Operations,Male,25,67527,2,79.58,No
10002,Employee_2,49,Operations,Female,19,74789,4,81.74,No
10003,Employee_3,35,Sales,Female,27,66902,1,74.61,Yes
10004,Employee_4,28,HR,Male,19,47191,3,88.48,No
10005,Employee_5,41,Marketing,Male,10,74488,4,87.89,No
10006,Employee_6,59,Operations,Male,9,90082,4,83.27,No
10007,Employee_7,39,Marketing,Male,22,51044,3,84.28,Yes
10008,Employee_8,43,Operations,Male,18,64600,3,88.69,No
10009,Employee_9,31,Sales,Female,17,102457,5,87.5,Yes
10010,Employee_10,31,HR,Male,26,63776,1,81.23,No
10011,Employee_11,44,HR,Male,5,117476,2,96.52,No
10012,Employee_12,56,Operations,Female,9,27836,1,90.03,No
10013,Employee_13,44,Sales,Male,1,89525,1,76.16,No
10014,Employee_14,23,Finance,Female,23,67648,2,79.6,No
10015,Employee_15,42,Marketing,Male,27,28740,1,93.64,No
10016,Employee_16,22,Marketing,Female,27,110716,4,73.14,No
10017,Employee_17,44,IT,Male,1,28102,4,92.51,No
10018,Employee_18,50,Sales,Female,4,95893,2,80.77,No
10019,Employee_19,58,IT,Female,10,66334,2,86.55,No
10020,Employee_20,22,Operations,Male,9,45255,3,78.42,No
10021,Employee_21,41,IT,Male,1,116630,3,99.59,No
10022,Employee_22,53,HR,Male,14,40221,1,97.18,No
10023,Employee_23,32,Marketing,Female,6,78265,1,97.85,Yes
10024,Employee_24,42,IT,Female,19,15719,2,75.54,Yes
10025,Employee_25,45,HR,Female,33,98442,1,95.25,No
10026,Employee_26,47,Sales,Male,34,38140,5,86.06,No
10027,Employee_27,48,IT,Male,33,70779,4,91.24,No
10028,Employee_28,36,Operations,Female,21,16069,1,76.53,No
10029,Employee_29,35,Operations,Male,30,69714,1,91.36,Yes
10030,Employee_30,23,Operations,Female,22,88285,3,97.43,Yes
10031,Employee_31,57,Marketing,Male,18,27935,5,78.02,Yes
10032,Employee_32,27,IT,Male,3,118191,1,77,No
10033,Employee_33,41,Sales,Female,23,59035,4,73.13,Yes
10034,Employee_34,29,IT,Male,19,111256,1,78,No
10035,Employee_35,59,Marketing,Male,27,42937,2,86.07,No
10036,Employee_36,38,HR,Male,16,33540,5,94.98,No
10037,Employee_37,24,Marketing,Male,18,88480,1,78.36,Yes
10038,Employee_38,45,Operations,Male,34,63702,5,88.63,No
10039,Employee_39,34,HR,Female,31,93283,1,84.39,No
10040,Employee_40,29,Operations,Male,34,91041,4,78.66,No
10041,Employee_41,46,Finance,Female,29,92233,4,85.31,No
10042,Employee_42,22,Marketing,Male,16,51907,5,75.04,No
10043,Employee_43,40,Marketing,Male,28,30221,3,89.19,No
10044,Employee_44,48,Sales,Female,5,69781,3,73.47,Yes
10045,Employee_45,27,IT,Female,16,22087,2,91.93,No
10046,Employee_46,28,HR,Male,16,101998,3,75.33,No
10047,Employee_47,55,HR,Male,13,37789,5,99.94,No
10048,Employee_48,34,Sales,Female,23,71023,3,94.71,Yes
10049,Employee_49,37,Sales,Female,31,48400,2,80.32,No
10050,Employee_50,56,IT,Female,13,17199,1,82.79,Yes
10051,Employee_51,24,Operations,Female,26,62316,3,77.78,No
10052,Employee_52,22,IT,Male,18,102273,5,93.01,Yes
10053,Employee_53,26,Marketing,Male,30,67062,5,81.42,No
10054,Employee_54,24,Operations,Male,8,86609,2,92.66,No
10055,Employee_55,49,Finance,Male,16,31744,2,70.55,No
10056,Employee_56,38,IT,Male,18,91095,4,74.07,No
10057,Employee_57,46,Sales,Female,3,70517,4,80.95,Yes
10058,Employee_58,54,Operations,Female,10,113231,4,73.27,Yes
10059,Employee_59,30,IT,Female,21,63865,1,88.03,No
10060,Employee_60,56,HR,Male,3,88937,5,71.52,No
10061,Employee_61,34,Finance,Female,16,92195,4,95.79,No
10062,Employee_62,51,Marketing,Male,7,28894,5,92.84,No
10063,Employee_63,35,HR,Male,33,44160,2,76.49,No
10064,Employee_64,28,HR,Male,10,68095,1,84.51,No
10065,Employee_65,34,Finance,Female,30,44272,2,83.55,No
10066,Employee_66,43,Marketing,Male,10,69021,5,91.75,No
10067,Employee_67,41,Sales,Male,20,105048,4,82.05,No
